Provider,TotalClaims,TotalInpatientClaims,TotalOutpatientClaims,TotalReimbursed,AvgReimbursed,TotalDeductible,AvgDeductible,UniqueBeneficiaries,UniqueAttendingPhysicians,AvgPatientAge,AvgHospitalStay,MostCommonState,Sum_ChronicCond_Alzheimer,Sum_ChronicCond_Heartfailure,Sum_ChronicCond_KidneyDisease,Sum_ChronicCond_Cancer,Sum_ChronicCond_ObstrPulmonary,Sum_ChronicCond_Depression,Sum_ChronicCond_Diabetes,Sum_ChronicCond_IschemicHeart,Sum_ChronicCond_Osteoporasis,Sum_ChronicCond_rheumatoidarthritis,Sum_ChronicCond_stroke,PotentialFraud
PRV51001,25,5,20,104640,4185.6,5340.0,213.6,24,14,77.88,5,1,15,19,17,5,10,9,21,23,6,8,6,0
PRV51003,132,62,70,605670,4588.409090909091,66286.0,502.1666666666667,117,44,69.10606060606061,62,1,56,80,64,10,41,54,100,112,33,38,12,1
PRV51004,149,0,149,52170,350.13422818791946,310.0,2.0805369127516777,138,38,71.30201342281879,0,1,64,88,50,16,41,63,105,108,49,46,17,0
PRV51005,1165,0,1165,280910,241.1244635193133,3700.0,3.1759656652360513,495,6,69.56738197424893,0,1,426,680,507,165,295,485,799,895,344,331,124,1
PRV51007,72,3,69,33710,468.19444444444446,3264.0,45.333333333333336,58,10,68.375,3,1,26,40,22,12,16,29,49,51,21,22,12,0
PRV51008,43,2,41,35630,828.6046511627907,2316.0,53.86046511627907,36,10,74.65116279069767,2,1,17,25,14,9,9,12,30,33,11,6,2,0
PRV51011,58,1,57,16630,286.7241379310345,1368.0,23.586206896551722,53,28,73.46551724137932,1,1,25,37,25,4,21,31,41,44,20,16,2,0
PRV51012,48,0,48,16890,351.875,100.0,2.0833333333333335,31,14,73.5625,0,1,18,26,22,6,21,19,35,38,17,17,3,0
PRV51013,46,0,46,14880,323.4782608695652,230.0,5.0,44,9,73.47826086956522,0,1,17,26,19,4,16,18,37,36,12,16,2,0
PRV51014,30,0,30,10480,349.3333333333333,120.0,4.0,25,7,70.23333333333333,0,1,16,17,16,2,9,10,19,20,6,12,3,0
PRV51015,8,0,8,700,87.5,0.0,0.0,7,3,71.125,0,1,4,7,4,3,4,7,8,7,3,3,1,0
PRV51016,6,0,6,170,28.333333333333332,0.0,0.0,6,3,69.83333333333333,0,1,2,4,4,3,2,2,5,5,2,3,1,0
PRV51017,515,0,515,142720,277.126213592233,1050.0,2.0388349514563107,420,113,71.71456310679612,0,25,216,294,215,58,159,210,351,386,184,128,47,0
PRV51021,257,29,228,348830,1357.3151750972763,31492.0,122.53696498054475,208,69,72.1556420233463,29,1,94,145,122,60,103,116,194,196,70,85,27,1
PRV51023,36,9,27,65610,1822.5,8624.0,246.4,35,14,72.36111111111111,9,1,16,21,16,5,10,16,21,30,9,8,5,0
PRV51024,39,9,30,64050,1642.3076923076924,9702.0,248.76923076923077,38,13,67.76923076923077,9,1,15,21,23,5,14,16,30,29,11,14,6,0
